Epoch,TrainLoss,ValidLoss
0,0.1947557066877683,0.05247839267055194
1,0.029100658123691878,0.01122955462584893
2,0.004965199762955308,0.0020963395247235892
3,0.0012767247778053086,0.0005400769199089458
4,0.0004543383916219076,0.00026654087123461067
5,0.00023350361443590372,0.0001579706974249954
6,0.00015245947482374808,0.00011269811366219074
7,0.00011114485532743856,8.327779893685753e-05
8,8.588369091739878e-05,7.179493841249495e-05
9,6.915305105697674e-05,5.890109847920636e-05
10,5.803773189351584e-05,5.00562833622098e-05
11,4.876961174886674e-05,4.0038712177192794e-05
12,4.061463041580282e-05,3.4751937103768187e-05
13,3.5541671968530865e-05,3.0994846504957725e-05
14,3.150052070850506e-05,2.6505945182483023e-05
15,2.7602453822813307e-05,2.495547681367801e-05
16,2.5401232778676786e-05,2.237653728419294e-05
17,2.469576490208662e-05,2.0414243287329252e-05
18,2.2209639428183437e-05,1.8577508065694322e-05
19,1.9491048442432656e-05,1.7797883992898277e-05
20,1.841791557429436e-05,1.7648407326002295e-05
21,1.7496802562770124e-05,1.5059506161681686e-05
22,1.616718818695517e-05,1.5576408441120292e-05
23,1.5392543718917296e-05,1.4366539350400368e-05
24,1.4108726888177141e-05,1.2843577375557894e-05
25,1.3732256532724325e-05,1.2965582997518748e-05
26,1.3101320655550808e-05,1.1701872184251745e-05
27,1.2284172529083056e-05,1.256314408237813e-05
28,1.3292697622091509e-05,1.2155055446783081e-05
29,1.2971770047442988e-05,1.2227250893677895e-05
30,1.1545678929299659e-05,9.989265618060016e-06
31,1.0498289915024847e-05,9.343674658642461e-06
32,9.948188138271992e-06,1.0195978272046583e-05
33,1.0047851931934322e-05,8.71964166435646e-06
34,9.792952338708953e-06,1.0180339086218736e-05
35,9.56163333588241e-06,8.120255885539034e-06
36,8.687665316150136e-06,8.666039502713829e-06
37,8.466324773811114e-06,9.105173558054957e-06
38,8.960585607079944e-06,8.260530739789828e-06
39,8.25428769530845e-06,8.541179886378813e-06
40,9.976018312348363e-06,9.452666381548624e-06
41,9.697640355928646e-06,8.815738813912807e-06
42,7.685096958690944e-06,7.837915836717002e-06
43,7.5836245741811584e-06,6.638018536856786e-06
44,6.872062294860371e-06,5.794636247931825e-06
45,6.9626990504427035e-06,6.479703309499504e-06
46,6.404899613698944e-06,5.871360917808488e-06
47,6.556840889970772e-06,6.6945186517841645e-06
48,6.558913689029092e-06,6.047332590242149e-06
49,6.037395087332697e-06,5.8636699577618854e-06
50,6.396447285320998e-06,7.5457875936990605e-06
51,7.582008947792929e-06,5.469754281269464e-06
52,6.567570865930368e-06,5.39899016681981e-06
53,5.651463197864359e-06,5.569119396871732e-06
54,6.6505702610205235e-06,8.43863666280716e-06
55,5.688695303736798e-06,4.8573882850178055e-06
56,5.093451788222107e-06,4.650208787400819e-06
57,5.262466963055582e-06,5.152413814357715e-06
58,5.189591941719603e-06,5.766363695632511e-06
59,5.500395127455704e-06,5.623012475552968e-06
60,4.92640090972903e-06,5.382449732375486e-06
61,4.932975328605001e-06,4.681438986153807e-06
62,4.5577919687881755e-06,4.990913991302174e-06
63,4.4443350664854124e-06,4.149242795392638e-06
64,4.487147377100579e-06,4.43858055708309e-06
65,4.1759173503426915e-06,4.050525270334523e-06
66,4.369297312223353e-06,4.025889969246539e-06
67,4.246251774020493e-06,3.8408963822197014e-06
68,4.007991795636674e-06,3.7269209618292126e-06
69,4.458620984830001e-06,3.892972017638385e-06
70,4.570789224089822e-06,4.155703497114397e-06
71,4.1083431521353e-06,4.050619736517547e-06
72,4.073843456353643e-06,4.027453633170807e-06
73,3.549890107024112e-06,3.530637195581221e-06
74,3.3992431023458875e-06,3.603621401756148e-06
75,3.5882560193082707e-06,3.799018152979746e-06
76,3.9363616451737474e-06,3.148973610223038e-06
77,3.7635366425092796e-06,3.270792982827212e-06
78,3.4346872325841103e-06,3.43946542974057e-06
79,4.015331054082102e-06,4.342055338687108e-06
80,3.320233736303635e-06,3.529648802214069e-06
81,3.1625096501860146e-06,2.9279888318948602e-06
82,3.0764719970951168e-06,2.8436548139628332e-06
83,3.136245807885037e-06,2.9726971054818325e-06
84,3.111371961495024e-06,3.8901500071612345e-06
85,3.48009690848509e-06,2.8886796826554927e-06
86,3.1146010163259536e-06,3.3086850938464826e-06
87,3.037545957340626e-06,3.2346271230683972e-06
88,3.333762985372838e-06,2.6982008497119145e-06
89,2.919754873194809e-06,2.909173341928787e-06
90,2.912098572475467e-06,2.981702785594583e-06
91,2.779778666687586e-06,2.7710016487011064e-06
92,2.5841217999792814e-06,2.760917641353444e-06
93,2.516978914475961e-06,2.7341314914034835e-06
94,2.429628822634792e-06,2.4491269717448936e-06
95,2.7263579947126954e-06,2.6049112724043274e-06
96,2.8086972482318135e-06,2.5805142437699638e-06
97,2.566822695371229e-06,2.621074994143176e-06
98,2.637357617156037e-06,2.649803809617879e-06
99,2.377293806906285e-06,2.5011247089423707e-06
100,2.4745359875547972e-06,2.6793430303465965e-06
101,2.8730854107076692e-06,2.9105493013048543e-06
102,3.104587676716619e-06,2.774909959650055e-06
103,2.972704608813122e-06,2.4777762973826612e-06
104,2.6913372342581474e-06,2.555057714441015e-06
105,2.542736524446809e-06,2.5297208746148195e-06
106,2.736909429283211e-06,2.905236988226534e-06
107,2.331300584046403e-06,2.6668556756703767e-06
108,2.5148150977353606e-06,2.371986268675149e-06
109,2.493017230638846e-06,2.544979573334179e-06
110,2.1260359517327743e-06,2.3025263544695918e-06
111,2.182954040108598e-06,2.1003157295732916e-06
112,1.9720237029711522e-06,2.302705570400576e-06
113,2.128954596021989e-06,2.451556633786822e-06
114,2.1610894615757085e-06,2.126945711703835e-06
115,2.155756609075373e-06,2.2570889692966983e-06
116,2.336435045435792e-06,2.3314645962576225e-06
117,2.0379497603547256e-06,2.1252387872057928e-06
118,2.042665331221845e-06,2.127229678687096e-06
119,1.9573750326647618e-06,2.3662784921422524e-06
120,1.919244573400647e-06,2.856767787307035e-06
121,2.1562711632820235e-06,2.2905087083321027e-06
122,2.0322946587233067e-06,1.902997519209748e-06
123,2.0265428095929868e-06,2.0637499195193716e-06
124,1.8618506525551008e-06,1.9450639986947257e-06
125,2.0827482103413786e-06,1.80306287802523e-06
126,1.9557311058330622e-06,2.048874792611362e-06
127,2.1535329778998856e-06,1.9135878574161325e-06
128,1.783033682537886e-06,2.1504826084613645e-06
129,2.104878528067881e-06,2.139521886116806e-06
130,1.8026020673763318e-06,1.908836838993011e-06
131,1.741744419329431e-06,2.112384239201977e-06
132,2.106827234153267e-06,2.5957560410461157e-06
133,1.8233766316673913e-06,1.8565425004150408e-06
134,1.733539640251062e-06,2.1271091857973563e-06
135,1.8490772466369284e-06,2.2170621832628966e-06
136,1.7177082099806284e-06,1.6863664465442222e-06
137,1.5903230670725558e-06,1.877927835873076e-06
138,1.6627372284953406e-06,1.788419012882514e-06
139,1.6844076753841363e-06,2.114170835435895e-06
140,1.660516772972187e-06,1.5287574797184789e-06
141,1.955755442395457e-06,2.659865640453063e-06
142,1.84349288095594e-06,1.959580466367091e-06
143,1.4876542384930265e-06,1.7547443121657124e-06
144,1.60945013097565e-06,1.6859662158215845e-06
145,1.5486825607998375e-06,1.7517459203493975e-06
146,1.4466534935309027e-06,1.4925290467241818e-06
147,1.3088145844146009e-06,1.390228127699326e-06
148,1.4726424448478308e-06,1.5799385437276215e-06
149,1.406899862862095e-06,1.4568854112440021e-06
150,1.4429290369359175e-06,1.4518612639828157e-06
151,1.539940952473747e-06,1.7138934632991247e-06
152,1.4045426686000913e-06,1.4027140271840229e-06
153,1.3991654138105028e-06,1.4534568814876063e-06
154,1.2664033837002838e-06,1.2537820263484416e-06
155,1.4358330190589187e-06,1.5754156493130722e-06
156,1.526032868544765e-06,1.4856051696672998e-06
157,1.5462194596693734e-06,1.7873821661851253e-06
158,1.4882770301483105e-06,1.6069312171869873e-06
159,1.3195292202302275e-06,1.5342697073113716e-06
160,1.5239410155724424e-06,1.5345958672696725e-06
161,1.2766666789805944e-06,1.3316282737226477e-06
162,1.3090357545782658e-06,1.2389794846967562e-06
163,1.1846125744341407e-06,1.3750981755341248e-06
164,1.2739215549117944e-06,1.41954895601278e-06
165,1.2094834460185667e-06,1.2751655314483893e-06
166,1.2128250394501569e-06,1.3328477583248363e-06
167,1.2651647428659393e-06,1.3836312670415889e-06
168,1.2557344424142987e-06,1.2499630050418395e-06
169,1.2184881522140737e-06,1.616561447311445e-06
170,1.1393386216695944e-06,1.1611589722330489e-06
171,1.1293453591558016e-06,1.2111467791934652e-06
172,1.1867097631087139e-06,1.2532797200037749e-06
173,1.2258371081467581e-06,1.444565555175359e-06
174,1.3290950429715545e-06,1.8471895752251537e-06
175,1.3671290541121077e-06,1.4148514916693482e-06
176,1.6569259742027498e-06,2.21141854126472e-06
177,1.3644435701583764e-06,1.2647114696543818e-06
178,1.0705266580165092e-06,1.0838945854629855e-06
179,1.1943982637300601e-06,1.1371452387720638e-06
180,1.1216385322162145e-06,1.452859426838889e-06
181,1.2110312809454627e-06,1.117966913473841e-06
182,1.0997584960629562e-06,1.1589996688599058e-06
183,1.1327040018234888e-06,1.1391497992008226e-06
184,1.073998384981678e-06,1.0307877649514315e-06
185,1.0508440899078172e-06,1.1201579582120757e-06
186,1.0604848360647642e-06,1.0877062891267996e-06
187,1.16359494010491e-06,1.2486241378913594e-06
188,9.954496855849963e-07,1.0060230958212438e-06
189,1.018412842768157e-06,1.3669921600012457e-06
190,1.1343810342623328e-06,1.2629735692826216e-06
191,1.0734781653809478e-06,1.1158176448589075e-06
192,1.0083129723170713e-06,1.0804301685614823e-06
193,1.0497395048029527e-06,1.2966995124467454e-06
194,1.0437966238896478e-06,1.0572645730159517e-06
195,9.68867046443241e-07,9.824865363346665e-07
196,9.00430704101988e-07,9.870191282364734e-07
197,9.028371171856027e-07,1.1801620037961888e-06
198,9.704348864640148e-07,1.0492061998472006e-06
199,9.150673425513863e-07,9.568284743484887e-07
200,9.11546536978373e-07,9.715822936110877e-07
201,9.610232912867409e-07,9.761149764623648e-07
202,1.038736293897576e-06,1.163754086519475e-06
203,1.0262837652893116e-06,1.0602833223553412e-06
204,9.508223646056043e-07,9.517319616255311e-07
205,8.918320380265262e-07,8.936301848431564e-07
206,8.972618578203158e-07,9.385726533158352e-07
207,9.368252638826865e-07,9.776759270607727e-07
208,8.880368909558456e-07,9.431821960485346e-07
209,8.959039443349563e-07,9.069310901092346e-07
210,9.219470901674261e-07,8.996904474164087e-07
211,8.817306631196213e-07,9.429427526204867e-07
212,8.609963288108702e-07,9.09830741117427e-07
213,8.514051046404347e-07,9.24089018402204e-07
214,9.492845795951629e-07,9.229744099078137e-07
215,8.88289268156465e-07,8.922638699004892e-07
216,9.373893097593585e-07,1.067242707601205e-06
217,1.0021456773756654e-06,1.0233249668090138e-06
218,9.143154898083594e-07,9.204003845297848e-07
219,8.526781092162613e-07,9.524285322489353e-07
220,8.260684126071282e-07,8.111636096449122e-07
221,7.925577032589596e-07,8.099402596902412e-07
222,8.307216868767379e-07,9.109959895188998e-07
223,8.308771233108322e-07,7.972761371396094e-07
224,7.774535352685537e-07,8.257576723735838e-07
225,8.174202245451548e-07,8.96737640232459e-07
226,9.121355712219762e-07,1.2559175767516233e-06
227,1.0201369680847467e-06,9.989341833716026e-07
228,9.24296394562892e-07,9.539559300719702e-07
229,9.485441296419595e-07,8.651991076173241e-07
230,8.870489295986772e-07,8.705226264282828e-07
231,8.027826462845648e-07,8.290725115026969e-07
232,7.717105290794279e-07,8.038710234359314e-07
233,7.782661668898072e-07,7.974603496071116e-07
234,7.674959533687797e-07,7.348370521261434e-07
235,7.926771293872055e-07,8.715096214473306e-07
236,8.384311854570115e-07,9.897360617590797e-07
237,9.96368290392032e-07,9.596648358941213e-07
238,8.917957302401192e-07,8.828589443510282e-07
239,8.402225262216234e-07,8.663740080313194e-07
240,7.627658950089729e-07,7.995765599844162e-07
241,7.211985822171603e-07,8.373547037384317e-07
242,7.42099532165715e-07,7.851033766807328e-07
243,7.262494383060887e-07,7.514324844729951e-07
244,7.336996778424994e-07,7.467599364948303e-07
245,7.323075389346438e-07,7.655719855392818e-07
246,7.016404689845027e-07,7.300056684774366e-07
247,7.345253303962333e-07,7.55207171702447e-07
248,6.914289618483357e-07,7.299442207416481e-07
249,6.784322143478978e-07,8.295787741493162e-07
250,7.074809010039947e-07,7.791177570955673e-07
251,7.563892950201989e-07,7.870710495202123e-07
252,7.013410311174084e-07,7.03433124726871e-07
253,6.771816041843219e-07,7.298304846396301e-07
254,7.023537288356844e-07,6.911320610925032e-07
255,7.213911620359189e-07,7.336873011354328e-07
256,6.885389382205176e-07,7.435404578851982e-07
257,7.058974233586924e-07,6.975156244000876e-07
258,7.262253878555687e-07,8.756288821132329e-07
259,7.601167264207713e-07,7.942575431722313e-07
260,6.523299854658641e-07,7.438209271034187e-07
261,6.460585552758858e-07,6.800892151659355e-07
262,6.618213035380904e-07,7.444484670789583e-07
263,6.817596840846818e-07,7.841484754559739e-07
